MONTH,DATE,TNEB Campus HTSC-91,TNEB New STP HTSC-178,Power Generation by Solar Panels,Power Generation by Diesel Engines,Power Generation by Biogas Engines,Staff Quarters ,Academic blocks ,Hostels,Chiller plant,STP,Total Consumption (in units)
June,30.06.2025,13600,530,2830,0,883,1841,5992,5275,3322,1413,17843
June,29.06.2025,10580,766,3388,0,915,2019,5715,4801,1433,1681,15649
June,28.06.2025,12620,752,3262,256,901,2088,6514,4980,2556,1653,17791
June,27.06.2025,15620,648,2703,0,1020,1878,8649,4544,3252,1668,19991
June,26.06.2025,16980,430,3329,0,1328,1986,8392,5938,3993,1758,22067
June,25.06.2025,19580,1158,3118,64,603,2009,9493,6162,5098,1761,24523
June,24.06.2025,16260,558,4469,0,664,1997,8209,5969,4554,1222,21951
June,23.06.2025,17220,858,3620,160,766,1949,8282,6197,4572,1624,22624
June,22.06.2025,11060,324,2967,448,916,1958,6272,6211,34,1240,15715
June,21.06.2025,16080,462,3692,0,949,1926,8180,5753,3913,1411,21183
June,20.06.2025,17480,920,3992,64,726,1945,8814,6269,4508,1646,23182
June,19.06.2025,11220,700,3561,5248,685,1929,8561,6270,3269,1385,21414
June,18.06.2025,17380,912,3887,256,637,2023,9082,6315,4103,1549,23072
June,17.06.2025,17060,714,3542,208,672,1892,8428,5955,4535,1386,22196
June,16.06.2025,18640,736,4028,160,746,1878,9485,5848,5617,1482,24310
June,15.06.2025,11800,1176,3870,0,581,1940,7029,6155,546,1757,17427
June,14.06.2025,17180,1092,3067,1008,551,1935,11314,5860,2146,1643,22898
June,13.06.2025,18500,770,3251,408,787,1920,9216,6252,4771,1557,23716
June,12.06.2025,16980,1148,4082,0,544,1948,8612,6204,4298,1692,22754
June,11.06.2025,17980,628,2983,0,781,1955,9059,6152,3797,1409,22372
June,10.06.2025,15620,512,4058,576,628,1932,8856,5749,3717,1140,21394
June,09.06.2025,16200,516,3129,640,661,2045,8255,5996,3673,1177,21146
June,08.06.2025,10560,538,3870,0,685,2128,6453,5808,41,1223,15653
June,07.06.2025,9900,435,4245,0,852,1942,6377,5783,43,1287,15432
June,06.06.2025,14600,518,4596,192,678,1883,8156,5240,4109,1196,20584
June,05.06.2025,14140,548,4500,0,664,1894,7773,5397,3576,1212,19852
June,04.06.2025,14480,604,4280,0,602,1898,7941,5129,3792,1206,19966
June,03.06.2025,14560,1256,3845,0,523,1786,7835,4710,4074,1779,20184
June,02.06.2025,13340,952,4524,0,557,1759,7262,4263,4580,1509,19373
June,01.06.2025,7640,442,938,0,481,1360,4560,2617,41,923,9501
May,31.05.2025,5460,220,892,0,662,1120,4181,1009,42,882,7234
May,30.05.2025,4760,158,888,0,709,1087,3807,712,42,867,6515
May,29.05.2025,5000,160,719,0,850,1083,3933,661,42,1010,6729
May,28.05.2025,4720,530,963,96,530,994,3598,1147,40,1060,6839
